Subcode,Branch code,Eff_from,SubjectName,Category,Sem /Year,L.,T.,P.,TW/SL,Total,E,M,I,V,Total.1,gtuSyllabusURL
DI01000011,6,2024-25, Induction Programme with Essence of Indian Knowledge,Mandatory Non-Credit Courses – Audit Course,1,0,0,0,,0,0,0,0,0,0,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000011.pdf
DI01000021,6,2024-25, Mathematics-I,Basic Science Courses,1,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000021.pdf
DI01000031,6,2024-25, Communication Skills in English,"Humanities and Social Science, including Management Courses",1,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000031.pdf
DI01000041,6,2024-25, Sports and Yoga,Mandatory Non-Credit Courses – Audit Course,1,0,0,2,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000041.pdf
DI01000111,6,2024-25, Engineering Graphics,Engineering Science Courses,1,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000111.pdf
DI01000121,6,2024-25, Applied Physics,Basic Science Courses,1,3,0,2,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000121.pdf
DI01006011,6,2024-25, Civil Engineering Drawing,Professional Core Courses,1,2,0,4,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01006011.pdf
DI01006021,6,2024-25, Construction Material,Engineering Science Courses,1,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01006021.pdf
DI01C00021,6,2025-26, Mathematics-I,Basic Science Courses,1,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00021.pdf
DI01C00031,6,2025-26, Communication Skills in English,"Humanities and Social Science, including Management Courses",1,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00031.pdf
DI01C00041,6,2025-26, Sports and Yoga,Mandatory Non-Credit Courses – Audit Course,1,0,0,2,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00041.pdf
DI01C00111,6,2025-26, Engineering Graphics,Engineering Science Courses,1,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00111.pdf
DI01C00121,6,2025-26, Applied Physics,Basic Science Courses,1,3,0,2,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C00121.pdf
DI01C06011,6,2025-26, Civil Engineering Drawing,Professional Core Courses,1,2,0,4,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C06011.pdf
DI01C06021,6,2025-26, Construction Material,Engineering Science Courses,1,2,0,2,,3,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C06021.pdf
DI01021011,6,2024-25, Applied Chemistry,Basic Science Courses,2,3,0,2,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01021011.pdf
DI01C21011,6,2025-26, Applied Chemistry,Basic Science Courses,2,3,0,2,,4,70,30,20,30,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01C21011.pdf
DI02000011,6,2024-25, Applied Mathematics,Basic Science Courses,2,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000011.pdf
DI02000051,6,2024-25, Environmental Sustainability,Engineering Science Courses,2,2,0,0,,2,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000051.pdf
DI02000061,6,2024-25, Indian Constitution,Mandatory Non-Credit Courses – Audit Course,2,2,0,0,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000061.pdf
