subcode,subjectname,semester,departmentcode,departmentname,programcode,programname,branchcode,efffrom,category,lecturehours,tutorialhours,practicalhours,credits,theoryesemarks,theorypamarks,practicalesemarks,practicalpamarks,totalmarks,iselective,istheory,ispractical,isfunctional,issemipractical,theoryexamduration,practicalexamduration,remarks
DI01000011,Subject DI01000011,1,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000011.pdf, Quality: 100"
DI01000021,Subject DI01000021,1,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000021.pdf, Quality: 100"
DI01000031,Subject DI01000031,1,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000031.pdf, Quality: 100"
DI01000041,Subject DI01000041,1,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000041.pdf, Quality: 100"
DI01000071,Subject DI01000071,1,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000071.pdf, Quality: 100"
DI01000081,Subject DI01000081,1,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000081.pdf, Quality: 100"
DI01000091,Subject DI01000091,1,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000091.pdf, Quality: 100"
DI01009011,Subject DI01009011,1,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01009011.pdf, Quality: 100"
DI01000061,Subject DI01000061,2,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI01000061.pdf, Quality: 100"
DI02000021,Subject DI02000021,2,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000021.pdf, Quality: 100"
DI02000051,Subject DI02000051,2,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000051.pdf, Quality: 100"
DI02000061,Subject DI02000061,2,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000061.pdf, Quality: 100"
DI02000131,Subject DI02000131,2,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000131.pdf, Quality: 100"
DI02000141,Subject DI02000141,2,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000141.pdf, Quality: 100"
DI02000151,Subject DI02000151,2,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000151.pdf, Quality: 100"
DI02000161,Subject DI02000161,2,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000161.pdf, Quality: 100"
DI02000171,Subject DI02000171,2,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark : Only For C to D Students,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI02000171.pdf, Quality: 100"
DI03000071,Subject DI03000071,3,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark :,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03000071.pdf, Quality: 100"
DI03000081,Subject DI03000081,3,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark :,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03000081.pdf, Quality: 100"
DI03000091,Subject DI03000091,3,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark :,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03000091.pdf, Quality: 100"
DI03000101,Subject DI03000101,3,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark :,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03000101.pdf, Quality: 100"
DI03009011,Subject DI03009011,3,EE,Electrical Engineering,DEE,Diploma in Electrical Engineering,09,2024-25,Remark :,0,0,0,0,0,0,0,0,100,false,false,false,true,false,,,"GTU PDF: https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/DI03009011.pdf, Quality: 100"
